"","effect","component","group","term","estimate","std.error","statistic","p.value"
"1","fixed","cond",NA,"(Intercept)",-3.37267927034303,1.48311528931232,-2.27405063830665,0.0229629420702784
"2","fixed","cond",NA,"Poptot",0.00203859941940756,0.0013597403588275,1.49925638830448,0.133807131584482
"3","fixed","cond",NA,"offprop",2.33306078927956,0.711828066266511,3.27756223706702,0.00104707644579999
"4","fixed","cond",NA,"proptop",3.55208864590977,1.41892536378878,2.50336538944168,0.0123018466761482
"5","ran_pars","cond","cage","sd__(Intercept)",0.918575546687804,NA,NA,NA
