Treat,Rep,Block,Day,IniTopAd,IniTopNym,IniBotAd,IniBotNym,Adtot,Nymtot,Poptot,Popred,divmeans,popDt
C,1,1,6,17,32,7,12,11,347,358,18.5,353.75,0.012014134
HCHC,1,1,6,16,19,12,19,0,106,106,270.5,116.0833333,-0.086862886
HCC7,1,1,6,11,25,14,15,0,71,71,305.5,120.2083333,-0.409358752
HCPT,1,1,6,2,11,22,37,3,138,141,235.5,204.3108974,-0.309875284
C7C7,1,1,6,15,39,10,13,3,138,141,235.5,124.3333333,0.134048257
C7PT,1,1,6,12,21,13,34,2,106,108,268.5,208.4358974,-0.481855087
PTPT,1,1,6,9,16,14,43,9,206,215,161.5,292.5384615,-0.265053905
C,2,1,6,10,19,5,21,12,519,531,-154.5,353.75,0.501060071
HCHC,2,1,6,15,17,7,30,5,201,206,170.5,116.0833333,0.774587222
HCC7,2,1,6,11,33,17,35,2,192,194,182.5,120.2083333,0.613864818
HCPT,2,1,6,22,46,4,29,3,363,366,10.5,204.3108974,0.79138756
C7C7,2,1,6,12,30,9,56,4,213,217,159.5,124.3333333,0.745308311
C7PT,2,1,6,8,14,9,26,3,223,226,150.5,208.4358974,0.084266208
PTPT,2,1,6,11,24,6,14,9,511,520,-143.5,292.5384615,0.777544044
C,3,1,6,18,34,5,35,7,448,455,-78.5,353.75,0.286219081
HCHC,3,1,6,17,46,4,17,7,157,164,212.5,116.0833333,0.412778177
HCC7,3,1,6,17,35,6,25,4,165,169,207.5,120.2083333,0.405892548
HCPT,3,1,6,9,26,12,48,12,267,279,97.5,204.3108974,0.365565927
C7C7,3,1,6,13,27,10,36,6,181,187,189.5,124.3333333,0.504021448
C7PT,3,1,6,14,30,8,34,3,126,129,247.5,208.4358974,-0.381104687
PTPT,3,1,6,10,33,11,40,5,333,338,38.5,292.5384615,0.155403629
C,4,1,6,12,31,11,42,7,193,200,176.5,353.75,-0.434628975
HCHC,4,1,6,12,15,10,21,5,114,119,257.5,116.0833333,0.025125628
HCC7,4,1,6,15,20,8,32,4,61,65,311.5,120.2083333,-0.459272097
HCPT,4,1,6,16,22,9,41,8,216,224,152.5,204.3108974,0.096368343
C7C7,4,1,6,12,32,11,35,2,66,68,308.5,124.3333333,-0.45308311
C7PT,4,1,6,14,22,11,27,1,180,181,195.5,208.4358974,-0.131627506
PTPT,4,1,6,7,22,11,22,1,102,103,273.5,292.5384615,-0.647909545
C,5,1,6,13,31,9,21,15,276,291,85.5,353.75,-0.177385159
HCHC,5,1,6,14,20,12,44,3,112,115,261.5,116.0833333,-0.009332376
HCC7,5,1,6,16,17,12,40,3,35,38,338.5,120.2083333,-0.683882149
HCPT,5,1,6,12,36,10,30,3,97,100,276.5,204.3108974,-0.510549847
C7C7,5,1,6,15,20,7,60,9,202,211,165.5,124.3333333,0.697050938
C7PT,5,1,6,10,13,7,38,10,143,153,223.5,208.4358974,-0.265961373
PTPT,5,1,6,15,38,8,18,15,376,391,-14.5,292.5384615,0.336576387
C,6,1,6,2,6,18,27,15,409,424,-47.5,353.75,0.198586572
HCHC,6,1,6,13,40,8,30,0,105,105,271.5,116.0833333,-0.095477387
C7C7,6,1,6,12,25,9,19,9,142,151,225.5,124.3333333,0.214477212
