Treat,Rep,Block,Day,IniTopAd,IniTopNym,IniBotAd,IniBotNym,A1TopAd,A1TopNym,A1BotAd,A1BotNym,A2TopAd,A2TopNym,A2BotAd,A2BotNym,A3TopAd,A3TopNym,A3BotAd,A3BotNym,B1TopAd,B1TopNym,B1BotAd,B1BotNym,B2TopAd,B2TopNym,B2BotAd,B2BotNym,B3TopAd,B3TopNym,B3BotAd,B3BotNym,C1TopAd,C1TopNym,C1BotAd,C1BotNym,C2TopAd,C2TopNym,C2BotAd,C2BotNym,C3TopAd,C3TopNym,C3BotAd,C3BotNym,Adtot,Nymtot,Poptot,IGR,Popred,propcol,nymchange,adjrepro,adtop,nymtop,addist,nymdist,centtot,centprop
C7PT,3,1,2,14,30,8,34,1,0,0,1,2,6,2,12,1,18,0,1,2,6,0,2,2,59,1,11,1,6,0,0,5,7,0,0,1,2,1,1,0,0,0,0,19,132,151,6,30.5,0.888888889,68,3.578947368,0.789473684,0.787878788,19.89263158,11.08757576,73,0.483443709
PTPT,3,1,2,10,33,11,40,0,0,2,5,1,3,0,1,1,2,1,4,5,9,0,9,3,40,2,47,0,0,0,0,1,3,1,5,2,17,0,0,0,1,0,2,19,148,167,7.047619048,14.5,0.888888889,75,3.947368421,0.684210526,0.506756757,17.35157895,9.474054054,92,0.550898204
C,4,1,2,12,31,11,42,2,0,0,3,1,18,0,5,1,3,1,0,0,0,0,0,4,48,1,10,0,0,0,0,0,5,0,0,2,0,0,0,3,11,0,2,15,105,120,4.565217391,57.5,0.777777778,32,2.133333333,0.866666667,0.80952381,17.19733333,10.84495238,63,0.525
HCHC,4,1,2,12,15,10,21,0,0,0,0,4,7,0,0,7,5,0,0,0,0,0,1,0,48,1,5,0,0,0,3,1,0,0,0,1,0,0,2,4,1,0,0,18,72,90,3.272727273,90.5,0.888888889,36,2,0.944444444,0.847222222,24.40888889,5.967777778,54,0.6
HCC7,4,1,2,15,20,8,32,0,9,0,0,1,5,0,0,1,5,0,2,0,0,0,0,4,35,1,5,1,0,0,2,3,4,0,2,1,0,0,0,3,4,0,1,15,74,89,3.217391304,88.5,0.888888889,22,1.466666667,0.933333333,0.837837838,17.19733333,12.21027027,45,0.505617978
HCPT,4,1,2,16,22,9,41,0,7,2,7,2,3,0,5,0,0,1,3,0,9,0,0,1,45,0,10,2,9,0,0,4,5,0,0,0,0,0,0,3,6,0,0,15,109,124,4.36,53.5,0.888888889,46,3.066666667,0.8,0.770642202,24.18666667,12.03522936,56,0.451612903
C7C7,4,1,2,12,32,11,35,0,0,1,0,0,0,1,5,2,14,0,0,2,1,0,1,3,42,0,4,1,12,0,0,1,3,0,0,1,0,0,3,2,16,0,0,14,101,115,4.391304348,61.5,1,34,2.428571429,0.857142857,0.871287129,19.26285714,13.59643564,49,0.426086957
C7PT,4,1,2,14,22,11,27,0,4,0,0,4,14,0,0,1,0,0,0,4,17,0,0,2,52,0,46,4,5,0,0,1,3,0,0,0,0,0,0,3,12,0,0,19,153,172,6.12,9.5,0.888888889,104,5.473684211,1,0.699346405,20.07368421,8.217777778,100,0.581395349
PTPT,4,1,2,7,22,11,22,1,1,0,2,3,5,0,0,1,2,0,0,0,1,0,0,2,27,0,0,0,0,1,0,1,5,1,8,0,0,0,5,1,3,1,2,12,61,73,3.388888889,101.5,1,17,1.416666667,0.75,0.721311475,20.80666667,14.2695082,29,0.397260274
C,5,1,2,13,31,9,21,1,14,0,0,0,0,0,0,1,0,0,0,4,5,0,8,8,59,0,47,0,0,0,0,2,8,0,2,4,0,0,0,1,2,0,0,21,145,166,6.590909091,17.5,0.777777778,93,4.428571429,1,0.606896552,14.35238095,6.864,114,0.686746988
HCHC,5,1,2,14,20,12,44,1,1,0,0,0,0,1,0,1,10,0,4,0,2,0,2,5,49,1,84,0,0,0,0,2,6,0,9,1,3,0,0,0,0,2,5,14,175,189,6.730769231,-12.5,0.888888889,111,7.928571429,0.714285714,0.405714286,14.97714286,6.456,139,0.735449735
HCC7,5,1,2,16,17,12,40,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,8,9,49,0,3,2,0,0,14,0,0,0,1,0,0,1,6,1,2,0,2,16,88,104,3.142857143,74.5,0.888888889,31,1.9375,0.8125,0.590909091,9.785,8.746363636,61,0.586538462
HCPT,5,1,2,12,36,10,30,1,4,0,4,1,0,0,0,1,1,1,1,0,0,0,4,3,57,1,44,1,3,2,5,1,0,0,4,1,2,0,0,0,0,0,2,13,131,144,5.954545455,31.5,1,65,5,0.692307692,0.511450382,16.39384615,5.591450382,105,0.729166667
C7C7,5,1,2,15,20,7,60,4,7,0,0,1,8,0,0,2,12,0,3,0,1,0,0,5,87,0,11,0,0,0,0,0,1,0,1,2,2,1,5,1,7,0,8,16,153,169,6.954545455,9.5,0.888888889,73,4.5625,0.9375,0.816993464,17.3725,9.300130719,103,0.609467456
C7PT,5,1,2,10,13,7,38,2,1,1,1,1,5,0,4,0,0,0,0,1,4,0,0,8,53,0,4,0,0,0,2,1,17,1,3,2,5,0,0,2,9,0,3,19,111,130,6.529411765,51.5,0.888888889,60,3.157894737,0.894736842,0.846846847,14.62947368,12.26594595,65,0.5
PTPT,5,1,2,15,38,8,18,2,7,1,4,1,8,0,0,2,7,0,0,2,8,0,1,5,66,1,35,0,0,0,3,3,11,0,0,0,0,0,3,4,6,0,1,21,160,181,6.956521739,2.5,1,104,4.952380952,0.904761905,0.70625,19.01714286,9.238,107,0.591160221
C,6,1,2,2,6,18,27,3,10,0,6,2,18,0,4,2,14,0,1,0,0,0,0,3,64,1,60,1,3,0,0,5,23,0,6,2,9,0,1,1,0,2,6,22,225,247,11.25,-62.5,0.888888889,192,8.727272727,0.863636364,0.626666667,21.25636364,11.40657778,128,0.518218623
HCHC,6,1,2,13,40,8,30,1,8,1,0,2,4,0,8,1,9,0,1,0,1,0,1,5,72,0,10,1,2,0,0,0,1,2,1,0,5,1,0,1,3,0,0,15,126,141,6,36.5,1,56,3.733333333,0.733333333,0.833333333,16.64533333,8.495555556,87,0.617021277
C7C7,6,1,2,12,25,9,19,0,0,0,1,1,6,0,1,1,2,0,0,3,2,1,2,3,69,0,2,0,0,0,1,1,9,0,1,4,7,0,3,2,5,0,0,16,111,127,5.285714286,51.5,1,67,4.1875,0.9375,0.900900901,18.32,8.54990991,74,0.582677165
PTPT,6,1,2,16,30,6,26,2,12,0,2,1,1,1,2,0,0,1,0,0,0,0,0,6,110,0,28,0,0,0,0,2,11,0,2,1,2,1,2,3,9,0,4,18,185,203,8.409090909,-22.5,0.777777778,129,7.166666667,0.833333333,0.783783784,17.01333333,6.871351351,144,0.709359606
C,1,1,4,17,32,7,12,3,8,3,22,1,7,0,2,1,19,0,1,2,24,0,8,1,79,0,47,0,0,0,7,0,22,0,16,3,9,1,5,4,32,0,9,19,317,336,13.20833333,-78.83334,1,140,7.368421053,0.789473684,0.630914826,23.74105263,15.41993691,127,0.37797619
HCHC,1,1,4,16,19,12,19,1,7,0,0,0,4,0,0,0,9,0,0,0,9,0,2,1,70,0,7,0,6,0,2,0,0,1,1,0,0,0,1,0,0,0,2,3,120,123,4.285714286,118.16666,1,-15,-5,0.666666667,0.875,18.85333333,8.477666667,78,0.634146341
HCC7,1,1,4,11,25,14,15,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,67,68,2.68,171.16666,0.333333333,-3,-3,1,0.970149254,28.28,9.708059701,44,0.647058824
HCPT,1,1,4,2,11,22,37,2,1,1,2,1,10,1,1,1,0,0,3,0,1,0,2,2,41,0,31,1,14,0,0,1,6,0,1,1,6,0,11,3,11,1,6,15,147,162,6.125,91.16666,1,-9,-0.6,0.8,0.612244898,22.30133333,11.89387755,74,0.456790123
C7C7,1,1,4,15,39,10,13,1,0,0,0,0,0,0,1,2,13,0,2,1,20,0,1,0,63,0,1,0,0,1,8,2,19,0,0,2,7,0,1,0,7,0,2,9,145,154,5.8,93.16666,1,37,4.111111111,0.888888889,0.889655172,24.6,13.62786207,64,0.415584416
C7PT,1,1,4,12,21,13,34,0,0,0,0,0,0,0,3,0,8,1,2,1,1,0,0,0,68,0,31,0,1,0,11,4,3,0,2,2,22,0,5,0,7,0,4,8,168,176,6.72,70.16666,0.888888889,33,4.125,0.875,0.654761905,25.175,9.495714286,99,0.5625
PTPT,1,1,4,9,16,14,43,2,29,0,7,1,4,1,4,2,36,0,19,1,0,1,1,1,51,0,35,0,10,0,9,1,9,2,3,1,8,0,3,4,11,0,9,17,248,265,10.7826087,-9.83334,1,77,4.529411765,0.764705882,0.637096774,24.18117647,17.17112903,87,0.328301887
C,2,1,4,10,19,5,21,1,27,1,3,1,19,0,3,1,10,0,5,1,6,0,0,2,101,0,31,1,0,0,2,2,8,1,18,2,26,0,1,2,20,0,8,15,288,303,19.2,-49.83334,1,151,10.06666667,0.866666667,0.753472222,21.74933333,13.67958333,134,0.442244224
HCHC,2,1,4,15,17,7,30,0,1,1,2,1,3,0,4,2,11,0,0,4,8,0,0,0,87,0,5,0,0,0,2,0,0,1,7,2,13,0,0,2,4,1,6,14,153,167,6.954545455,85.16666,1,64,4.571428571,0.785714286,0.830065359,24.14,9.651503268,92,0.550898204
HCC7,2,1,4,11,33,17,35,2,5,0,0,1,23,0,3,0,4,0,0,0,0,0,0,0,38,0,5,0,3,0,0,0,23,0,1,1,9,0,3,6,33,0,0,10,150,160,5.357142857,88.16666,0.888888889,48,4.8,1,0.92,26.624,17.90986667,43,0.26875
