"","Treat","HC","C7","PT","Rep","Block","Day","Adtot","Nymtot","Poptot","propcol","adtop","nymtop","addist","nymdist","centtot","centprop","totinf","propinf"
"201","PTPT",0,0,2,6,2,4,15,274,289,1,0.933333333,0.737226277,21.74933333,12.85824818,140,0.484429066,8,0.888888888888889
"202","C7PT",0,1,1,7,2,4,8,83,91,1,0.875,0.43373494,24.14,18.11518072,19,0.208791209,8,0.888888888888889
"203","PTPT",0,0,2,7,2,4,18,173,191,1,0.833333333,0.780346821,23.94888889,5.50566474,133,0.696335079,8,0.888888888888889
"204","HCPT",1,0,1,7,2,4,11,138,149,0.888888889,0.909090909,0.869565217,17.55636364,5.477681159,109,0.731543624,4,0.444444444444444
"205","Control",0,0,0,1,2,6,24,419,443,1,0.75,0.821002387,21.985,15.24792363,163,0.367945824,8,0.888888888888889
"206","HCHC",2,0,0,1,2,6,2,111,113,1,1,0.927927928,14.14,17.14342342,33,0.292035398,9,1
"207","HCC7",1,1,0,1,2,6,6,61,67,0.888888889,0.833333333,0.868852459,16.09333333,21.72065574,10,0.149253731,8,0.888888888888889
"208","HCPT",1,0,1,1,2,6,8,139,147,0.888888889,0.75,0.805755396,22.675,17.67021583,47,0.319727891,8,0.888888888888889
"209","C7PT",0,1,1,1,2,6,6,100,106,0.777777778,1,0.96,12.76,3.6624,88,0.830188679,8,0.888888888888889
"210","PTPT",0,0,2,1,2,6,18,336,354,1,0.722222222,0.779761905,23.94888889,14.49452381,144,0.406779661,9,1
"211","Control",0,0,0,2,2,6,16,348,364,1,0.8125,0.908045977,21.1225,15.17195402,139,0.381868132,9,1
"212","HCHC",2,0,0,2,2,6,4,85,89,0.666666667,0.75,0.976470588,24.14,24.49741176,2,0.02247191,7,0.777777777777778
"213","HCC7",1,1,0,2,2,6,1,35,36,0.444444444,1,0.971428571,20,10.32571429,19,0.527777778,8,0.888888888888889
"214","HCPT",1,0,1,2,2,6,9,213,222,0.888888889,0.888888889,0.953051643,12.95111111,8.396244131,140,0.630630631,9,1
"215","C7C7",0,2,0,2,2,6,2,98,100,0.777777778,1,0.969387755,28.28,9.001632653,63,0.63,8,0.888888888888889
"216","C7PT",0,1,1,2,2,6,10,173,183,1,0.7,0.861271676,22.968,10.26982659,98,0.535519126,7,0.777777777777778
"217","PTPT",0,0,2,2,2,6,16,264,280,0.888888889,0.9375,0.825757576,25.175,12.72575758,125,0.446428571,8,0.888888888888889
"218","Control",0,0,0,3,2,6,14,293,307,1,1,0.754266212,24.48571429,13.65788396,132,0.429967427,8,0.888888888888889
"219","HCHC",2,0,0,3,2,6,11,126,137,0.888888889,1,0.928571429,22.69818182,10.40031746,71,0.518248175,8,0.888888888888889
"220","HCC7",1,1,0,3,2,6,1,78,79,0.666666667,1,0.987179487,28.28,7.896410256,53,0.670886076,2,0.222222222222222
"221","HCPT",1,0,1,3,2,6,12,175,187,1,0.75,0.92,23.45,11.9184,91,0.486631016,7,0.777777777777778
"222","C7C7",0,2,0,3,2,6,1,90,91,0.777777778,1,0.966666667,28.28,7.027555556,65,0.714285714,9,1
"223","C7PT",0,1,1,3,2,6,10,31,41,0.555555556,1,0.967741935,22.484,20.93677419,6,0.146341463,6,0.666666666666667
"224","PTPT",0,0,2,3,2,6,9,280,289,1,0.777777778,0.760714286,21.84,9.707857143,171,0.591695502,8,0.888888888888889
"225","Control",0,0,0,4,2,6,10,209,219,0.888888889,0.8,0.717703349,22.968,7.207464115,150,0.684931507,9,1
"226","HCHC",2,0,0,4,2,6,3,125,128,0.666666667,1,0.928,25.52,7.27232,87,0.6796875,9,1
"227","HCC7",1,1,0,4,2,6,4,93,97,0.777777778,1,0.935483871,19.14,8.929462366,62,0.639175258,8,0.888888888888889
"228","HCPT",1,0,1,4,2,6,7,152,159,0.777777778,1,0.914473684,25.91428571,12.06578947,81,0.509433962,5,0.555555555555556
"229","C7C7",0,2,0,4,2,6,0,13,13,0.333333333,NA,1,NA,27.64307692,0,0,9,1
"230","C7PT",0,1,1,4,2,6,1,23,24,0.666666667,1,0.913043478,28.28,25.10086957,2,0.083333333,7,0.777777777777778
"231","PTPT",0,0,2,4,2,6,5,31,36,0.888888889,0.6,0.451612903,24.968,24.16258065,1,0.027777778,9,1
"232","Control",0,0,0,5,2,6,16,341,357,1,0.625,0.741935484,23.105,14.76093842,127,0.355742297,7,0.777777777777778
"233","HCHC",2,0,0,5,2,6,3,90,93,1,0.666666667,0.944444444,28.28,24.14844444,7,0.075268817,9,1
"234","HCC7",1,1,0,5,2,6,1,12,13,0.444444444,0,0.666666667,28.28,24.83,0,0,5,0.555555555555556
"235","HCPT",1,0,1,5,2,6,10,230,240,1,1,0.791304348,23.312,15.11704348,93,0.3875,9,1
"236","C7C7",0,2,0,5,2,6,4,161,165,0.777777778,1,0.968944099,26.21,9.201987578,101,0.612121212,5,0.555555555555556
"237","C7PT",0,1,1,5,2,6,2,46,48,0.444444444,1,0.760869565,24.14,22.7,0,0,9,1
"238","PTPT",0,0,2,5,2,6,18,309,327,1,0.888888889,0.825242718,24.40888889,16.4820712,110,0.336391437,8,0.888888888888889
"239","Control",0,0,0,6,2,6,10,286,296,1,0.7,0.737762238,19.656,9.373706294,172,0.581081081,3,0.333333333333333
"240","HCHC",2,0,0,6,2,6,1,17,18,0.222222222,1,1,28.28,26.81882353,0,0,9,1
"241","HCHC",2,0,0,6,2,6,1,17,18,0.222222222,1,1,28.28,26.81882353,0,0,9,1
"242","HCC7",1,1,0,6,2,6,4,75,79,0.555555556,1,0.973333333,19.14,23.0368,7,0.088607595,9,1
"243","HCPT",1,0,1,6,2,6,10,271,281,1,0.7,0.859778598,22.14,9.97904059,155,0.551601423,5,0.555555555555556
"244","C7C7",0,2,0,6,2,6,0,21,21,0.444444444,NA,1,NA,9.918095238,11,0.523809524,5,0.555555555555556
"245","C7PT",0,1,1,6,2,6,0,14,14,0.444444444,NA,0.857142857,NA,25.32285714,0,0,8,0.888888888888889
"246","PTPT",0,0,2,6,2,6,13,390,403,1,0.846153846,0.769230769,23.55692308,16.47025641,134,0.332506203,8,0.888888888888889
"247","C7PT",0,1,1,7,2,6,6,37,43,0.777777778,1,0.972972973,24.14,22.05189189,2,0.046511628,8,0.888888888888889
"248","PTPT",0,0,2,7,2,6,20,247,267,1,0.9,0.744939271,21.554,11.92906883,130,0.486891386,8,0.888888888888889
"249","HCPT",1,0,1,7,2,6,7,191,198,1,0.857142857,0.869109948,23.54857143,9.580104712,114,0.575757576,4,0.444444444444444
