"","Treat","HC","C7","PT","Rep","Block","Day","Adtot","Nymtot","Poptot","propcol","adtop","nymtop","addist","nymdist","centtot","centprop","totinf","propinf"
"45","PTPT",0,0,2,1,1,4,17,248,265,1,0.764705882,0.637096774,24.18117647,17.17112903,87,0.328301887,6,0.666666666666667
"46","Control",0,0,0,2,1,4,15,288,303,1,0.866666667,0.753472222,21.74933333,13.67958333,134,0.442244224,9,1
"47","HCHC",2,0,0,2,1,4,14,153,167,1,0.785714286,0.830065359,24.14,9.651503268,92,0.550898204,3,0.333333333333333
"48","HCC7",1,1,0,2,1,4,10,150,160,0.888888889,1,0.92,26.624,17.90986667,43,0.26875,8,0.888888888888889
"49","HCPT",1,0,1,2,1,4,13,211,224,1,1,0.90521327,23.82153846,12.82028436,101,0.450892857,7,0.777777777777778
"50","C7C7",0,2,0,2,1,4,14,205,219,1,0.785714286,0.668292683,22.71142857,12.54614634,101,0.461187215,6,0.666666666666667
"51","C7PT",0,1,1,2,1,4,9,144,153,1,1,0.979166667,25.52,19.66194444,31,0.202614379,4,0.444444444444444
"52","PTPT",0,0,2,2,1,4,18,262,280,0.888888889,0.833333333,0.797709924,21.72666667,16.12961832,98,0.35,8,0.888888888888889
"53","Control",0,0,0,3,1,4,27,255,282,1,0.592592593,0.619607843,24.34518519,14.30839216,111,0.393617021,9,1
"54","HCHC",2,0,0,3,1,4,10,185,195,1,1,0.87027027,23.312,14.74118919,71,0.364102564,5,0.555555555555556
"55","HCC7",1,1,0,3,1,4,11,164,175,1,0.909090909,0.865853659,22.69818182,10.63609756,96,0.548571429,4,0.444444444444444
"56","HCPT",1,0,1,3,1,4,14,226,240,1,0.785714286,0.694690265,20.1,10.28176991,135,0.5625,4,0.444444444444444
"57","C7C7",0,2,0,3,1,4,16,142,158,1,0.9375,0.866197183,20.39,10.43774648,80,0.506329114,6,0.666666666666667
"58","C7PT",0,1,1,3,1,4,9,104,113,0.888888889,0.777777778,0.836538462,18.31555556,11.32038462,55,0.486725664,5,0.555555555555556
"59","PTPT",0,0,2,3,1,4,13,202,215,0.888888889,0.846153846,0.678217822,23.18461538,12.93366337,90,0.418604651,1,0.111111111111111
"60","Control",0,0,0,4,1,4,13,151,164,0.888888889,0.923076923,0.801324503,21.38153846,13.89960265,70,0.426829268,5,0.555555555555556
"61","HCHC",2,0,0,4,1,4,4,65,69,0.777777778,1,0.876923077,24.14,7.331692308,42,0.608695652,8,0.888888888888889
"62","HCC7",1,1,0,4,1,4,6,52,58,0.888888889,0.833333333,0.980769231,25.52,22.17769231,8,0.137931034,9,1
"63","HCPT",1,0,1,4,1,4,11,155,166,0.888888889,0.909090909,0.651612903,26.77454545,12.86864516,71,0.427710843,7,0.777777777777778
"64","C7C7",0,2,0,4,1,4,1,58,59,0.666666667,1,0.982758621,28.28,17.44551724,19,0.322033898,5,0.555555555555556
"65","C7PT",0,1,1,4,1,4,7,152,159,0.888888889,1,0.934210526,21.87428571,12.84105263,67,0.421383648,8,0.888888888888889
"66","Control",0,0,0,5,1,4,27,194,221,0.888888889,0.703703704,0.731958763,21.58518519,10.85030928,104,0.470588235,7,0.777777777777778
"67","HCHC",2,0,0,5,1,4,13,151,164,1,0.769230769,0.476821192,20.74461538,15.91417219,61,0.37195122,7,0.777777777777778
"68","HCC7",1,1,0,5,1,4,16,129,145,1,1,0.682170543,23.4075,13.33922481,51,0.351724138,7,0.777777777777778
"69","HCPT",1,0,1,5,1,4,3,121,124,0.777777778,1,0.52892562,22.76,5.888264463,92,0.741935484,2,0.222222222222222
"70","C7C7",0,2,0,5,1,4,10,145,155,0.888888889,1,0.917241379,28.28,12.30124138,79,0.509677419,7,0.777777777777778
"71","C7PT",0,1,1,5,1,4,11,113,124,0.888888889,0.909090909,0.867256637,24.51636364,12.65309735,56,0.451612903,5,0.555555555555556
"72","PTPT",0,0,2,5,1,4,18,258,276,1,0.944444444,0.697674419,21.91777778,14.38,113,0.40942029,6,0.666666666666667
"73","Control",0,0,0,6,1,4,20,224,244,1,0.9,0.75,21.726,15.965,77,0.31557377,3,0.333333333333333
"74","HCHC",2,0,0,6,1,4,5,124,129,0.888888889,1,0.879032258,15.312,8.888387097,80,0.620155039,7,0.777777777777778
"75","C7C7",0,2,0,6,1,4,7,113,120,0.555555556,1,0.955752212,19.01714286,12.06690265,58,0.483333333,7,0.777777777777778
"76","PTPT",0,0,2,6,1,4,24,201,225,1,0.958333333,0.815920398,23.365,11.64995025,113,0.502222222,7,0.777777777777778
"77","Control",0,0,0,1,1,6,11,347,358,1,1,0.688760807,25.26909091,14.69475504,138,0.38547486,9,1
"78","HCHC",2,0,0,1,1,6,0,106,106,0.666666667,NA,0.952830189,NA,8.061509434,67,0.632075472,8,0.888888888888889
"79","HCC7",1,1,0,1,1,6,0,71,71,0.333333333,NA,0.957746479,NA,7.169577465,53,0.746478873,5,0.555555555555556
"80","HCPT",1,0,1,1,1,6,3,138,141,1,0.666666667,0.65942029,25.52,11.62,69,0.489361702,5,0.555555555555556
"81","C7C7",0,2,0,1,1,6,3,138,141,1,1,0.905797101,22.76,13.39971014,65,0.460992908,6,0.666666666666667
"82","C7PT",0,1,1,1,1,6,2,106,108,0.555555556,1,0.924528302,24.14,8.894339623,63,0.583333333,7,0.777777777777778
"83","PTPT",0,0,2,1,1,6,9,206,215,1,0.555555556,0.723300971,24.21777778,16.17203883,81,0.376744186,6,0.666666666666667
"84","Control",0,0,0,2,1,6,12,519,531,1,0.833333333,0.63583815,24.54333333,12.62635838,259,0.487758945,9,1
"85","HCHC",2,0,0,2,1,6,5,201,206,1,1,0.696517413,26.624,13.61910448,84,0.40776699,3,0.333333333333333
"86","HCC7",1,1,0,2,1,6,2,192,194,1,1,0.921875,24.14,21.575625,30,0.154639175,8,0.888888888888889
"87","HCPT",1,0,1,2,1,6,3,363,366,1,1,0.719008264,28.28,15.5230854,121,0.330601093,7,0.777777777777778
"88","C7C7",0,2,0,2,1,6,4,213,217,1,1,0.896713615,22.07,10.33577465,117,0.539170507,6,0.666666666666667
"89","C7PT",0,1,1,2,1,6,3,223,226,1,1,0.659192825,28.28,13.45112108,102,0.451327434,4,0.444444444444444
"90","PTPT",0,0,2,2,1,6,9,511,520,1,0.777777778,0.722113503,23.29777778,18.40540117,144,0.276923077,8,0.888888888888889
